,text,user_age,gender,days_on_platform,user_region,label,train_test_split
22,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",34.84,Other,3107,Asia Pacific,anger,Train
23,@user The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,24.37,Female,2851,Americas,anger,Test
24,@user @user nah way that's horrible,49.78,Female,1919,Middle East/Africa,anger,Train
25,@user I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,29.69,Female,3030,Middle East/Africa,anger,Test
26,angel delight is my everything,12.0,Female,1553,Asia Pacific,happiness,Test
27,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,36.2,Female,2536,Americas,anger,Train
28,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,24.55,Male,3022,Asia Pacific,happiness,Train
29,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,31.08,Male,3721,Middle East/Africa,anger,Test
30,Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,22.54,Other,1705,Europe,happiness,Train
31,"Jorge deserves it, honestly. He's weak.  #90dayfiance",25.08,Other,3697,Middle East/Africa,anger,Train
32,@user 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),21.81,Female,6057,Asia Pacific,anger,Train
33,@user @user ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,29.47,Other,630,Asia Pacific,happiness,Test
34,"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",41.39,Female,1815,Asia Pacific,anger,Test
35,Manchester derby at home,31.37,Female,2350,Middle East/Africa,happiness,Train
36,"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",28.14,Female,3873,Americas,anger,Train
37,her; i want a playful relationship\nme; *kicks her off the couch*,44.39,Female,1484,Americas,happiness,Train
38,Romero is fucking dreadful like seriously my 11 month old is better than him.,33.4,Female,1565,Asia Pacific,anger,Train
39,"@user It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",19.53,Male,3547,Middle East/Africa,anger,Train
40,@user oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,28.37,Female,730,Middle East/Africa,sadness,Train
41,so gutted i dropped one of my earrings down the sink at school,22.96,Male,3427,Americas,sadness,Train
42,"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",36.7,Other,2999,Asia Pacific,happiness,Test
43,“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,37.77,Male,1121,Americas,optimism,Test
44,"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @user Still kicking myself for being to shy to hug @user",42.11,Female,1134,Europe,happiness,Test
45,I'm so bored and fat and full and ridiculously overweight and rolls galore,38.47,Other,1594,Middle East/Africa,sadness,Train
46,"@user Flirt, simper, pout, repeat. Yuck.",40.17,Female,2981,Americas,anger,Test
47,"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",32.63,Female,1311,Europe,anger,Train
48,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @user will know,47.32,Male,5010,Asia Pacific,anger,Test
49,"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",45.34,Other,5044,Middle East/Africa,anger,Train
50,Nor hell a fury like a woman scorned -- William Congreve,26.79,Female,5172,Americas,anger,Test
51,@user Tried 2 get earlier flt 2day  @user Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind,18.27,Female,4143,Europe,sadness,Test
52,"@user I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",33.64,Male,3032,Asia Pacific,sadness,Train
53,"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO",30.49,Male,5848,Asia Pacific,happiness,Train
54,@user bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,21.84,Male,3254,Europe,happiness,Train
55,@user @user Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,33.49,Male,338,Europe,anger,Test
56,Thank you disney themed episode for letting me discover how amazing the @user are! #hilarious,36.84,Female,3248,Americas,happiness,Test
57,Need a new outlet for #rage,31.92,Male,3415,Europe,anger,Train
58,Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,15.82,Female,2775,Asia Pacific,happiness,Train
59,@user @user wow. not heard this in forever. Random but. great #sting #xph,37.78,Male,7210,Asia Pacific,happiness,Test
60,May the optimism of tomorrow be your foundation for today.,49.13,Male,1782,Middle East/Africa,optimism,Train
61,"@user @user @user \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",37.41,Male,502,Asia Pacific,anger,Train
62,@user spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain,27.66,Other,3607,Europe,anger,Train
63,"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",19.26,Female,3622,Middle East/Africa,happiness,Test
64,"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz",36.95,Female,3987,Asia Pacific,sadness,Test
65,People who go the speed limit irritate me,27.47,Female,2011,Middle East/Africa,anger,Train
66,#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,47.05,Male,3800,Middle East/Africa,happiness,Train
67,@user @user ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,21.58,Male,3374,Europe,anger,Test
68,My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,24.7,Male,3714,Asia Pacific,sadness,Train
69,I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,49.97,Female,3974,Europe,anger,Train
70,@user I am shy xD,38.05,Female,3452,Europe,sadness,Test
71,After what just happened. In need to smoke.,27.96,Other,4227,Americas,anger,Train
72,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,37.78,Male,2982,Americas,anger,Test
73,"@user I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",32.58,Male,909,Middle East/Africa,happiness,Train
74,@user so this houses will get into my instestines and scare my poop and I'll shit my pants?,31.98,Female,3655,Middle East/Africa,anger,Test
75,@user @user @user \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,31.39,Female,4407,Europe,anger,Train
76,"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",45.53,Female,6816,Americas,sadness,Test
77,Noooooo @user without #MaryBerry will be #awful #endofanera going 2b so #lost @user have bought a #lameduck there #notallaboutthemoney,28.0,Female,5938,Europe,anger,Train
78,"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",31.65,Male,6091,Middle East/Africa,happiness,Test
79,"@user it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",40.92,Other,4674,Asia Pacific,anger,Train
80,"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",24.64,Other,4514,Middle East/Africa,sadness,Train
81,#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,41.95,Male,5079,Americas,happiness,Train
82,God we need a new goal keeper! They’re both horrific.,40.4,Male,4791,Asia Pacific,anger,Train
83,@user Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,49.6,Female,173,Asia Pacific,sadness,Train
84,"@user if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't",32.11,Male,1442,Asia Pacific,sadness,Train
85,"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",38.61,Male,2727,Europe,optimism,Test
86,wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,33.18,Male,682,Asia Pacific,sadness,Train
87,I am worried that she felt safe. #unhappy,34.78,Male,99,Americas,sadness,Test
88,#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the,46.55,Other,1464,Europe,anger,Test
89,Nothing worse than an uber driver that can't drive. #awful,46.36,Male,1282,Middle East/Africa,anger,Train
90,"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",38.51,Female,850,Europe,anger,Test
91,Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,28.99,Male,643,Americas,happiness,Train
92,@user u know ion play that shit bout my weary brother,32.65,Female,5552,Americas,anger,Test
93,@user @user cmode grimrail made me want to eat angry bees,45.95,Male,4072,Americas,anger,Train
94,Happy Birthday @user #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,46.22,Female,4451,Middle East/Africa,happiness,Test
95,"@user I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",55.37,Female,2079,Europe,anger,Test
96,Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,30.9,Female,3475,Americas,anger,Train
97,"We're in contained depression. Only new economic engine is #Sustainability, say Joel @user + @user @ #VERGEcon. #NewGrandStrategy",37.34,Other,996,Asia Pacific,sadness,Train
98,@user &gt; huff louder,19.11,Male,2161,Europe,sadness,Train
99,"@user lol I thought maybe, couldn't decide if there was levity or not",15.22,Male,3477,Middle East/Africa,happiness,Train
100,There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,26.36,Male,1555,Europe,anger,Train
101,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,22.71,Male,224,Americas,anger,Train
102,"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",23.85,Female,1782,Middle East/Africa,happiness,Test
103,"@user 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL #awful",30.3,Male,4675,Asia Pacific,anger,Train
104,"@user @user experience all plays a role in that, it's education and preparedness not fear",44.89,Male,2337,Asia Pacific,optimism,Test
105,"@user appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one #awful",26.67,Female,4782,Middle East/Africa,anger,Train
106,Summer officially ends today. #sadness,7.29,Male,4522,Asia Pacific,sadness,Train
107,@user seriously dude buy some bubble tape for your phones. #snap broke another phone,19.96,Female,1397,Asia Pacific,anger,Test
108,@user holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible,34.45,Male,2765,Europe,anger,Train
109,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,37.02,Male,5202,Americas,sadness,Test
110,Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them,29.84,Female,2303,Europe,anger,Train
111,Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,23.2,Female,409,Middle East/Africa,anger,Test
112,in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,10.31,Female,1553,Middle East/Africa,anger,Train
113,I was not made for this world. #empath #unhappy,37.68,Female,5188,Europe,sadness,Test
114,i'm... nervous about this test rip,40.18,Male,1896,Middle East/Africa,sadness,Test
115,Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,44.83,Female,5200,Europe,happiness,Train
116,i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,22.45,Female,5342,Europe,sadness,Train
117,"Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷",28.55,Male,5417,Middle East/Africa,sadness,Test
118,I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,28.96,Female,4482,Americas,happiness,Train
119,Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues,33.76,Female,1940,Middle East/Africa,optimism,Test
120,"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",45.7,Male,4434,Middle East/Africa,optimism,Test
121,finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,43.8,Female,4472,Asia Pacific,sadness,Train
122,@user @user don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,40.58,Other,7859,Asia Pacific,anger,Train
123,will brawndo cure my depression? @user #Idiocracytoday,42.89,Female,4225,Middle East/Africa,sadness,Test
124,Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,23.14,Male,3076,Europe,optimism,Test
125,I dislike people who get offended by the littlest shit .,41.21,Female,2971,Asia Pacific,anger,Train
126,@user you look adorable awe,30.62,Male,2750,Europe,happiness,Train
127,New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,28.04,Female,4168,Asia Pacific,anger,Test
128,@user ur road rage gives me anxiety.,23.5,Female,2134,Americas,anger,Train
129,@user brings back great memories of hilarity on #SATURDAYNIGHTLIVE,25.54,Female,952,Middle East/Africa,happiness,Test
130,@user @user my god is @user a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,27.58,Female,5126,Americas,sadness,Train
131,"significantly, with a #bitter smile, 'let me",31.88,Female,839,Americas,anger,Test
132,@user just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do...#sike #losers #terrible,46.9,Male,975,Europe,anger,Train
133,@user He didn't have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end.,36.68,Female,545,Middle East/Africa,happiness,Train
134,Need advice on how to get out of this rut!!!!  #needmotivation,36.83,Male,372,Middle East/Africa,optimism,Test
135,in health we did a think about depression and now i feel like i have it,18.51,Female,4612,Asia Pacific,sadness,Test
136,@user It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!,33.89,Male,6334,Asia Pacific,happiness,Test
137,Muscled man with huge heart is messing with my brain and heart. #lost #confused,39.71,Male,8250,Americas,sadness,Train
138,@user @user @user Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,37.01,Female,3558,Americas,anger,Test
139,@user I'm wearing all black tomorrow to mourn. 😭💔,37.18,Female,2611,Asia Pacific,sadness,Train
140,@user Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances,27.17,Female,5112,Asia Pacific,anger,Train
141,"@user *laughs louder this time, shaking my head* That was really cheesy, wasn't it?",42.65,Male,4471,Middle East/Africa,happiness,Test
142,When my 4yo is gone I blast gothcore music. She has #anxiety &amp; I can't listen 2 it around her bcuz it's 'too spooky'. *sigh* #momlife,14.77,Male,5028,Europe,sadness,Train
143,@user glee,31.59,Male,1635,Europe,happiness,Train
144,Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power',42.39,Male,757,Asia Pacific,optimism,Test
145,@user #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process,52.32,Female,6298,Asia Pacific,sadness,Test
146,"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",36.87,Female,652,Middle East/Africa,sadness,Train
147,@user nick fury,37.69,Female,2763,Americas,anger,Test
148,and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets #nightmare,43.85,Male,6015,Asia Pacific,sadness,Test
149,@user @user don't get me started on town centre. Used to go every week.... not been for 18 months,36.71,Male,279,Americas,sadness,Train
150,"@user both, scrap *ll the rage instead",37.11,Female,4128,Europe,anger,Test
151,Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,42.86,Female,2026,Asia Pacific,optimism,Test
152,@user wow I'm just really sadden by that. Terrible,12.09,Female,3837,Americas,sadness,Test
153,I meet new people and I had to grow up with the reality that people can be desgusting and fake and so I lost my cheerfulness and started to,31.7,Male,3864,Middle East/Africa,anger,Test
154,Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,26.63,Male,1349,Americas,sadness,Train
155,These girls who are playful and childlike seem to have such lovely relationships. Can't imagine them having serious convos but it's cute  😍😍,24.8,Female,6427,Europe,happiness,Test
156,"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",36.9,Male,1256,Asia Pacific,happiness,Train
157,Why is it so windy? So glad I didn't ride my bike. #fear #wind,38.03,Female,4305,Asia Pacific,happiness,Train
158,"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote",25.42,Male,4501,Europe,optimism,Test
159,@user @user Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,30.84,Male,5214,Americas,anger,Test
160,@user @user they're both pretty awful when you look at them historically,36.51,Female,4530,Asia Pacific,anger,Test
161,broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,50.44,Male,200,Middle East/Africa,anger,Train
162,"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing",38.42,Male,2447,Middle East/Africa,happiness,Train
163,@user 'Don't you know how nervous I was to see you?',37.27,Male,2351,Asia Pacific,sadness,Train
164,@user Worst than going to the morgue to do a positive ID. #horrible Reuters,28.11,Male,1975,Asia Pacific,anger,Train
165,@user that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,46.5,Male,3695,Asia Pacific,anger,Test
166,"@user wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and",21.48,Male,1248,Europe,sadness,Train
167,I'm such a shy girl🙄,24.11,Other,2989,Americas,sadness,Train
168,mmmm i'm kinda sad i hope i can shake this before school,33.36,Other,3954,Americas,sadness,Test
169,Every day I think my #house 🏡 is #burning 🔥 but it's always just my neighbor burning their #toast! 😷😡🍞,34.29,Female,456,Americas,happiness,Test
170,"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",34.5,Male,1835,Middle East/Africa,anger,Test
171,@user #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,48.43,Male,2189,Middle East/Africa,anger,Train
172,Everyone is raging,43.33,Female,6470,Europe,anger,Train
173,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,46.96,Female,2844,Europe,anger,Train
174,@user @user the refs are in GT's favor tonight.,33.7,Male,3625,Europe,happiness,Train
175,NL's top bureaucrat is a director of a group formed to oppose NL's top megaproject. #nlpoli - never dull,31.62,Male,4340,Americas,sadness,Train
176,Watch this amazing live.ly broadcast by @user  #musically,28.01,Male,5780,Europe,happiness,Train
177,No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,19.28,Male,4707,Europe,sadness,Train
178,@user @user Amal Clooney should try to prosecute  #Bush/ #Blair for #war crimes that turned our World upside down&amp;created #terrorism,30.89,Male,1045,Middle East/Africa,anger,Test
179,"@user stop the presses, @user said/proposed something racist. #shocking",35.97,Female,1066,Asia Pacific,anger,Test
180,@user \nIsn't OBrien supposed to be some sort of offensive genius,49.8,Female,5042,Asia Pacific,anger,Train
181,Good morning chirpy #SpringEquinox and your pensive sister #AutumnEquinox A perfect day however it is expressed 🌹🍁🌓☯️ #theBeautyofBalance,24.73,Male,2103,Europe,happiness,Test
182,"@user do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",38.22,Female,7195,Europe,sadness,Train
183,I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor,46.77,Female,5075,Asia Pacific,optimism,Train
184,Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @user ❤️,34.02,Female,1849,Americas,happiness,Train
185,@user you came in at silly o'clock and woke me up that's what happened #wasted #fuming,36.6,Female,3417,Asia Pacific,anger,Train
186,@user @user the gleesome threesome,26.26,Male,4352,Europe,happiness,Train
187,@user I think you should do. Get the fashion police involved. #shocking,23.75,Female,2092,Asia Pacific,anger,Test
188,Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep,51.62,Other,5514,Asia Pacific,sadness,Test
189,@user relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.,49.18,Other,1777,Middle East/Africa,anger,Train
190,@user Thank you for follow and its a good website you have and cheering with no hassle.,42.44,Male,4421,Europe,happiness,Train
191,@user people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists Namjoon,25.67,Male,1897,Asia Pacific,happiness,Test
192,"When something makes you excited, terrified, thrilled, nervous, elated &amp; like you've been kicked in the guts all at once. Need word for that",30.42,Male,2538,Europe,happiness,Test
193,@user that's not easy to blow up the LT on a run play. He created the seam for Sua to burst through,52.78,Female,25,Americas,happiness,Train
194,@user @user But I decided to be a bit lackadaisical about getting dressed to get groceries.,26.33,Female,4446,Asia Pacific,happiness,Train
195,"@user optimism is he'll lose, that's actually a compromise :P",42.57,Male,237,Americas,optimism,Test
196,@user \n'It's alright!' She said cheerfully trying to make the moment fun,52.05,Female,2163,Europe,happiness,Train
197,@user they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,36.61,Male,3771,Americas,anger,Train
198,Ppl like that irritate my soul,44.38,Male,3303,Middle East/Africa,anger,Train
199,@user at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,35.22,Female,2990,Americas,optimism,Test
200,Now that @user has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival,27.27,Female,3536,Middle East/Africa,happiness,Test
201,@user He's just too raging to type properly... Ha ha!,45.01,Female,23,Americas,anger,Train
202,Pakistan continues to treat #terror as a matter of state policy says @user #UriAttack,25.14,Male,2947,Europe,anger,Train
203,i have so much hair it's a nightmare but it's also very soft so it guess it's a win-lose situation,28.23,Female,2419,Americas,optimism,Train
204,@user @user whatever Sam is holding on your tee looks like it's got a droop on 😂,36.04,Female,3132,Middle East/Africa,happiness,Train
205,"One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness",19.4,Male,3946,Asia Pacific,sadness,Train
206,The Pats are awesome. Belichick is awesome ...they just are.,46.22,Male,2184,Europe,happiness,Train
207,"Don't join @user they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly!",33.97,Female,2728,Europe,anger,Train
208,@user @user @user @user Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,36.67,Female,1858,Asia Pacific,sadness,Train
209,"@user No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create #BlackLivesmatter",23.44,Male,3743,Americas,anger,Train
210,HMS Pinafore' time.\n\nI need some mirth.,48.71,Male,1965,Middle East/Africa,happiness,Train
211,Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,31.52,Male,1857,Europe,sadness,Train
212,"#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!",26.13,Male,4143,Middle East/Africa,sadness,Test
213,"Turkish exhilaration: for a 30% shade off irruptive russian visitors this twelvemonth, gobbler is nephalism so...",51.56,Male,3910,Americas,happiness,Test
214,When will the weeks full of Mondays end?? #disheartened,37.11,Female,1858,Asia Pacific,sadness,Test
215,"@user I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack #bully",30.87,Other,555,Middle East/Africa,anger,Test
216,@user way to go #London. Nice job electing a #muslim #jihadist for mayor. Good luck with your future #terror attacks #sadiqkhan,32.73,Other,2546,Asia Pacific,sadness,Test
217,Pull over #tonight and make your car #shake 😋💦,37.51,Male,5496,Middle East/Africa,happiness,Train
218,Feeling #gloomy,35.12,Male,1208,Europe,sadness,Train
219,"B day next week, catch the sauce and watch the heaviness!",31.24,Female,2883,Asia Pacific,happiness,Train
220,"Carry on my wayward son, there'll be peace when you are done. Lay your weary head to rest. Don't you cry no more. #Supernatural",21.41,Male,4388,Middle East/Africa,optimism,Test
221,@user  cyber bully,24.93,Female,2317,Asia Pacific,anger,Train
222,@user I found the first few episodes of Bojack incredibly funny. Then it got less funny but I stayed for the #drama,26.84,Female,1643,Europe,happiness,Train
223,10 page script due Friday for class. Who said I could do this MFA thing?  #GradSchoolProblems #someonetelltinafeytohireme,30.99,Male,5958,Asia Pacific,happiness,Test
224,Riggs dumb ass hell lolol #hilarious #LethalWeapon,41.02,Other,2999,Americas,happiness,Test
225,@user bully,40.93,Female,2746,Europe,anger,Train
226,India should now react to the uri attack..... #revenge,41.56,Male,677,Asia Pacific,anger,Test
227,"Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest #happy",43.37,Female,368,Middle East/Africa,happiness,Train
228,@user where is the outrage when black children get killed in the crossfire between blacks shooting each other?,49.87,Female,3114,Americas,anger,Test
