residential building	Wohngebäude
Bathtub or whirlpool apron or skirt	Schürze oder Schürze für Badewanne oder Whirlpool
Shaving razor hook	Rasierklingenhaken
Toothbrush or tumbler holder	Zahnbürsten- oder Becherhalter
Toilet tissue holder	Toilettenpapierhalter
Shower caddy	Duschwanne
Towel bar or ring or stand or hook	Handtuchhalter, -ring, -ständer oder -haken
Shower curtain or assembly	Duschvorhang oder Montage
Robe hook	Kleiderhaken
Drain	Abfluss
Toilet seat lid	Toilettensitzdeckel
Toilet seat	Toilettensitz
Shower rod	Duschstange
Spigot	Zapfen
Body spray head	Körpersprühkopf
Faucet repair kit	Wasserhahn-Reparaturset
Faucet trim	Wasserhahnverkleidung
Hand shower repair kit	Handbrause-Reparaturset
Rough in valve	Schruppen im Ventil
Combination fixed and hand held shower head	Kombination aus festem und handgehaltenem Duschkopf
Whirlpool jet	Whirlpool-Düse
Faucet handle	Griff des Wasserhahns
Hand held shower unit	Handdusche
Faucet aerator	Perlator für Wasserhahn
Shower head	Duschkopf
Spout	Ausgießer
Air tight door	Luftdichte Tür
Fire door	Feuerschutztür
Door closers	Türschließer
Inspection door	Inspektionstür
Door screen	Türgitter
Door and window loop	Tür- und Fensterschleife
Blem door	Bleibtür
Blast proof door	Explosionssichere Tür
Water tight door	Wasserdichte Tür
Door openers	Türöffner
Sound proof door	Schalldichte Tür
Swing door	Flügeltür
Kick plates	Trittplatten
Revolving doors	Karusselltüren
Pocket doors	Taschentüren
Door frames	Türrahmen
Storm doors	Sturmtüren
Metal doors	Türen aus Metall
Wooden doors	Hölzerne Türen
Rolling doors	Rolltore
Screen doors	Bildschirmtüren
Glass doors	Glastüren
Automatic doors	Automatische Türen
French windows	Französische Fenster
Window screens	Fensterbildschirme
Window walls	Fensterwände
Projected windows	Vorstehende Fenster
Bay windows	Erkerfenster
Fixed windows	Feste Fenster
Bow windows	Bogenfenster
Horizontal slider windows	Horizontale Schiebefenster
Casement windows	Fenster mit Flügeln
Single hung windows	Einflügelige Fenster
Double hung windows	Doppelflügelige Fenster
Tilt or transom windows	Kipp- oder Sprossenfenster
Wired glass	Verdrahtetes Glas
Float glass	Floatglas
Safety glass	Sicherheitsglas
Tempered glass	Gehärtetes Glas
Laminated glass	Verbundsicherheitsglas
Beveled glass	Geschliffenes Glas
Paving blocks	Pflastersteine
Leaded glass	Bleiglas
Fixed skylights	Feste Oberlichter
Vented skylights	Belüftete Oberlichter
Tube skylights	Rohr-Dachfenster
Smoke lid	Deckel rauchen
Window sill	Fensterbank
Fixed window frames	Feste Fensterrahmen
Tilt or transom window frames	Kipp- oder Sprossenfensterrahmen
Window arch	Fensterbogen
Horizontal slider window frames	Horizontale Schiebefensterrahmen
Double hung window frames	Doppelflügelige Fensterrahmen
Single hung window frames	Einflügelige Fensterrahmen
Casement window frames	Flügelfensterrahmen
Single bar gate	Einfaches Gittertor
Double bar gate	Doppelstabtor
Garage door operator accessory	Zubehör für Garagentorantriebe
Garage door operator component	Bauteil für Garagentorantrieb
Garage door accessory	Garagentor-Zubehör
Garage door component	Garagentor-Komponente
Rolling garage door	Garagen-Rolltor
Chain link garage door	Kettenglied-Garagentor
PVC garage door	PVC-Garagentor
Garage door complete operator	Garagentor Komplettantrieb
Carriage garage door	Garagentor für Kutschen
Wood garage door	Garagentor aus Holz
Insulated sandwich garage door	Isoliertes Sandwich-Garagentor
Pan garage door	Pan-Garagentor
Screen garage door	Bildschirm-Garagentor
Foamed concrete	Schaumbeton
Ready mix concrete	Transportbeton
Insulating concrete	Isolierender Beton
Grout	Fugenmasse
Mortars	Mörser
Conductive concrete	Leitfähiger Beton
Cement	Zement
Chlorinated lime	Chlorkalk
Hydraulic lime	Hydraulischer Kalk
Hydrated lime	Hydratisierter Kalk
Lean lime	Magerer Kalk
Unslaked lime	Ungelöschter Kalk
Gypsum plaster	Gipsputz
Corner guards	Eckschutzvorrichtungen
Drywall	Trockenbau
Wallpapers	Bildschirmhintergründe
Wallboard	Wandtafel
Wallpaper roller	Tapetenroller
Gypsum board	Gipskarton
Wall fabric	Wandbespannung
Plastic wall covering	Wandverkleidung aus Kunststoff
Panels	Paneele
paneling	Verkleidung
Acoustic ceiling tiles	Akustische Deckenplatten
Ceiling panels	Deckenplatten
Coffers	Kassen
Suspended ceiling systems	Abgehängte Deckensysteme
Laminate flooring	Laminatfußböden
Tufted carpeting	Tufting-Teppichboden
Flooring joists	Fußbodenbalken
Knotted carpeting	Knüpfteppichboden
Flooring threshold	Fußbodenschwelle
Floor panel	Bodenplatte
Carpet underlays	Teppichunterlagen
rug underlays	Teppichunterlagen
Non skid steel flooring	Rutschfeste Stahlböden
Access flooring	Doppelboden
Duckboards	Entenbretter
Carpet pads	Teppichunterlagen
Outdoor carpeting	Teppichboden im Freien
Vinyl flooring	Vinyl-Bodenbelag
Cork flooring	Kork-Bodenbelag
Rubber flooring	Gummibodenbelag
Linoleum	Linoleum
Wood flooring	Holzfußböden
Carpeting	Teppichboden
Stone flooring	Steinböden
tile flooring	Fliesenbelag
Tri view cabinet	Tri-View-Schrank
Bumper pad	Stoßfänger-Pad
Drawer slide	Schubladenauszug
Drawer	Schublade
Wardrobe	Garderobe
Laboratory cupboard	Laborschrank
School cupboard	Schulschrank
Domestic cupboard	Häuslicher Schrank
Cabinets	Schränke
Cornices	Gesimse
Louvers	Lamellen
Door surrounds	Türumrandungen
Molding	Gießen
Stair parts	Treppenteile
Wainscoting	Vertäfelung
Columns	Rubriken
High pressure laminate	Hochdruck-Laminat
Specialty laminate	Spezielles Laminat
Metal laminate	Metall-Laminat
Rigid thermal foil RTF	Starre Thermofolie RTF
Edgebanding laminate	Laminat mit Kantenanleimung
Concrete stairs	Treppen aus Beton
Steel stairs	Stahltreppe
Wooden stairs	Hölzerne Treppe
Stair nosing	Treppenkanten
Granite countertop	Granit-Arbeitsplatte
Solid surface countertop	Arbeitsplatte mit fester Oberfläche
Cultured marble countertop	Arbeitsplatte aus kultiviertem Marmor
Laminate countertop	Arbeitsplatte aus Laminat
Pull out hamper hardware	Hardware für ausziehbare Wäschekörbe
Pull out hamper assembly	Ausziehbarer Wäschekorb
tip out hamper hardware	auskippbare Wäschekörbe Hardware
tip out hamper assembly	Montage des Kippbehälters
Pull out waste basket hardware	Hardware für herausziehbare Papierkörbe
Pull out waste basket assembly	Herausziehbarer Papierkorb
Spice rack insert	Gewürzregal-Einsatz
spice drawer insert	Gewürzschubladeneinsatz
Lazy susan hardware	Lazy Susan Hardware
Lazy susan assembly	Lazy Susan Montage
Pantry hardware	Hardware für die Speisekammer
Pantry assembly	Montage der Speisekammer
Bread box lid	Brotkasten-Deckel
Bread box assembly	Montage des Brotkastens
Stemware rack	Stemmbrett
Roll out tray	Tablett ausrollen
Slide out storage bin	Herausschiebbarer Stauraum
Slide out storage assembly	Herausschiebbare Aufbewahrungseinheit
Tilt out tray hardware	Hardware für ausklappbare Ablage
Tilt out tray assembly	Auskippbare Tablett-Baugruppe
Door mount hardware	Hardware für die Türmontage
Door mount assembly	Montage der Türhalterung
sliding towel hardware	Schiebehandtuchhalter
sliding towel assembly	Schiebehandtuchhalter
Folding wall	Faltbare Wand
Screen wall	Sichtschutzwand
Screen cubicle	Sichtschutzkabine
Interior wall system	Innenwandsystem
Cold storage wall	Kühlhauswand
Combination ladder	Kombi-Leiter
Step stool	Tritthocker
Ladders	Leitern
Scaffolding	Gerüstbau
Platform step ladder	Plattform Stufenleiter
Roof ladder	Dachleiter
Scaffolding cross brace	Querstrebe für Gerüste
Scaffolding handrail	Handlauf für Gerüste
Scaffolding flooring	Bodenbeläge für Gerüste
Ladder tray	Leiterschale
Ladder platform	Plattform für Leitern
Scaffolding stabilizers	Gerüststabilisatoren
Ladder stay	Leiterstütze
Scaffolding davit	Gerüst-Davit
Scaffolding trestle	Gerüstbock
Scaffolding corbel	Gerüstkragstein
Scaffolding counterweight	Gegengewicht für Gerüste
Scaffolding staircase	Gerüsttreppe
Scaffolding frame	Gerüstrahmen
Scaffolding fixation device	Gerüstbefestigungsvorrichtung
Scaffolding wire rope	Drahtseile für Gerüste
Construction shed	Bauhütte
Construction trailer	Bauwagen
Hot rolled c360 brass bar	Warmgewalzte c360 Messingstange
Hot forged c360 brass bar	Heißgeschmiedete c360 Messingstange
Hot rolled c464 brass bar	Warmgewalzte c464 Messingstange
Hot forged c464 brass bar	Heißgeschmiedete c464 Messingstange
Cold drawn c464 brass bar	Kaltgezogene c464 Messingstange
Hot rolled c360 brass sheet	Warmgewalztes c360 Messingblech
Cold rolled c464 brass sheet	Kaltgewalztes c464 Messingblech
Hot rolled c464 brass sheet	Warmgewalztes c464 Messingblech
Brass billet	Messingknüppel
Brass coil	Spule aus Messing
Brass strip	Messingstreifen
Brass ingot	Messingbarren
Extruded magnesium bar	Stranggepresster Magnesiumstab
Cold rolled magnesium sheet	Kaltgewalztes Magnesiumblech
Magnesium strip	Magnesiumstreifen
Magnesium billet	Magnesiumknüppel
Magnesium ingot	Magnesium-Barren
Magnesium coil	Magnesium-Spule
Cast titanium bar	Gegossener Titanstab
Hot rolled titanium sheet	Warmgewalztes Titanblech
Titanium coil	Titan-Spule
Titanium strip	Titanband
Titanium billet	Knüppel aus Titan
Titanium ingot	Titan-Barren
Cold drawn copper bar	Kaltgezogene Kupferstange
Hot rolled copper bar	Warmgewalzte Kupferstange
Cold rolled copper sheet	Kaltgewalztes Kupferblech
Hot rolled copper sheet	Warmgewalztes Kupferblech
Hot rolled copper strip	Warmgewalztes Kupferband
Cold rolled copper strip	Kaltgewalztes Kupferband
Copper billet	Kupferknüppel
Copper ingot	Kupferbarren
Copper coil	Kupferspule
Cold drawn silicone bronze bar	Kaltgezogene Stange aus Silikonbronze
Hot rolled silicone bronze bar	Warmgewalzte Silikonbronze-Stange
Cold drawn aluminum bronze bar	Kaltgezogene Aluminium-Bronzestange
Cold drawn phosphor bronze bar	Kaltgezogene Stange aus Phosphorbronze
Hot rolled phosphor bronze bar	Warmgewalzter Phosphorbronze-Stab
Hot rolled aluminum bronze bar	Warmgewalzte Aluminium-Bronzestange
Hot rolled phosphor bronze sheet	Warmgewalztes Phosphorbronzeblech
Cold rolled phosphor bronze sheet	Kaltgewalztes Phosphorbronzeblech
Hot rolled aluminum bronze sheet	Warmgewalztes Aluminium-Bronzeblech
Cold rolled aluminum bronze sheet	Kaltgewalztes Aluminium-Bronzeblech
Hot rolled aluminum silicone sheet	Warmgewalztes Aluminium-Silikonblech
Cold rolled silicone bronze sheet	Kaltgewalztes Silikonbronzeblech
Bronze coil	Bronze-Spule
Bronze strip	Bronzeband
Bronze billet	Knüppel aus Bronze
Bronze ingot	Bronze-Barren
Hot rolled zinc sheet	Warmgewalztes Zinkblech
Hot rolled zinc bar	Warmgewalzter Zinkbarren
Zinc coil	Zink-Spule
Zinc strip	Zinkband
Zinc billet	Knüppel aus Zink
Zinc ingot	Zinkbarren
Tin cold drawn bar	Kaltgezogene Zinnstangen
Tin hot rolled bar	Warmgewalzter Zinnstab
Tin hot rolled sheet	Warmgewalztes Zinnblech
Tin cold rolled sheet	Kaltgewalztes Zinnblech
Tin coil	Zinnspule
Tin strip	Zinnstreifen
Tin ingot	Zinnbarren
Lead cold drawn bar	Kaltgezogene Stangen aus Blei
Lead extruded bar	Stranggepresstes Blei
Lead hot rolled bar	Warmgewalzter Bleistab
Lead hot rolled sheet	Warmgewalztes Bleiblech
Lead cold rolled sheet	Kaltgewalztes Bleiblech
Lead coil	Leitspule
Lead strip	Bleistreifen
Lead billet	Knüppel aus Blei
Lead ingot	Bleibarren
Carbon steel SAE 1500 series hot rolled bar	Warmgewalzte Stäbe aus Kohlenstoffstahl der Serie SAE 1500
Carbon steel SAE 1200 series hot rolled bar	Kohlenstoffstahl SAE 1200 Serie warmgewalzt
Carbon steel SAE 1100 series hot rolled bar	Warmgewalzte Stäbe aus Kohlenstoffstahl der Serie SAE 1100
Carbon steel SAE 1500 series cold drawn bar	Kaltgezogener Stabstahl aus Kohlenstoffstahl der Serie SAE 1500
Carbon steel SAE 1200 series cold drawn bar	Kaltgezogener Stabstahl aus Kohlenstoffstahl der Serie SAE 1200
Carbon steel SAE 1100 series cold drawn bar	Kaltgezogener Stabstahl aus Kohlenstoffstahl der Serie SAE 1100
Carbon steel SAE 1000 series cold drawn bar	Kaltgezogener Stabstahl aus Kohlenstoffstahl der Serie SAE 1000
Carbon steel SAE 1000 series hot rolled bar	Warmgewalzte Stäbe aus Kohlenstoffstahl der Serie SAE 1000
Steel alloy SAE 6000 series hot rolled bar	Warmgewalzte Stäbe aus legiertem Stahl der Serie SAE 6000
Steel alloy SAE 9000 series hot rolled bar	Stahllegierung SAE 9000 Serie warmgewalzt
Steel alloy SAE 8000 series hot rolled bar	Warmgewalzte Stäbe aus legiertem Stahl der Serie SAE 8000
Steel alloy SAE 5000 series hot rolled bar	Warmgewalzter Stabstahl der Serie SAE 5000
Steel alloy SAE 4000 series hot rolled bar	Warmgewalzter Stabstahl der Serie SAE 4000
Steel alloy SAE 9000 series cold drawn bar	Stahllegierung SAE 9000 Serie kaltgezogener Stab
Steel alloy SAE 8000 series cold drawn bar	Stahllegierung SAE 8000 Serie kaltgezogener Stab
Steel alloy SAE 6000 series cold drawn bar	Stahllegierung SAE 6000 Serie kaltgezogener Stab
Steel alloy SAE 5000 series cold drawn bar	Stahllegierung SAE 5000 Serie kaltgezogener Stab
Steel alloy SAE 4000 series cold drawn bar	Stahllegierung SAE 4000 Serie kaltgezogener Stab
Tool steel cold drawn bar	Kaltgezogener Werkzeugstahl
Tool steel hot rolled bar	Warmgewalzter Werkzeugstahl
High strength low alloy HSLA steel hot rolled bar	Hochfester, niedrig legierter HSLA-Stahl, warmgewalzt
Carbon steel SAE 1500 series cold rolled sheet	Kaltgewalzte Bleche aus Kohlenstoffstahl der Serie SAE 1500
Carbon steel SAE 1000 series electro galvanized cold rolled sheet	Kohlenstoffstahl SAE 1000 Serie elektrolytisch verzinktes kaltgewalztes Blech
Carbon steel SAE 1100 series electro galvanized cold rolled sheet	Kohlenstoffstahl SAE 1100 Serie elektrolytisch verzinktes kaltgewalztes Blech
Carbon steel SAE 1200 series electro galvanized cold rolled sheet	Kohlenstoffstahl SAE 1200 Serie elektrolytisch verzinktes kaltgewalztes Blech
Carbon steel SAE 1100 series hot dip galvanized cold rolled sheet	Kohlenstoffstahl SAE 1100 Serie feuerverzinktes kaltgewalztes Blech
Carbon steel SAE 1000 series hot dip galvanized cold rolled sheet	Kohlenstoffstahl SAE 1000 Serie feuerverzinktes kaltgewalztes Blech
Carbon steel SAE 1200 series cold rolled sheet	Kaltgewalzte Bleche aus Kohlenstoffstahl der Serie SAE 1200
Carbon steel SAE 1200 series hot dip galvanized cold rolled sheet	Kohlenstoffstahl SAE 1200 Serie feuerverzinktes kaltgewalztes Blech
Carbon steel SAE 1500 series hot dip galvanized cold rolled sheet	Kohlenstoffstahl SAE 1500 Serie feuerverzinktes kaltgewalztes Blech
Carbon steel SAE 1500 series electro galvanized cold rolled sheet	Kohlenstoffstahl SAE 1500 Serie elektrolytisch verzinktes kaltgewalztes Blech
Carbon steel SAE 1100 series cold rolled sheet	Kaltgewalzte Bleche aus Kohlenstoffstahl der Serie SAE 1100
Carbon steel SAE 1000 series electro galvanized hot rolled sheet	Kohlenstoffstahl SAE 1000 Serie elektrolytisch verzinktes warmgewalztes Blech
Carbon steel SAE 1500 series hot dip galvanized hot rolled sheet	Kohlenstoffstahl der Serie SAE 1500, feuerverzinktes, warmgewalztes Blech
Carbon steel SAE 1200 series hot dip galvanized hot rolled sheet	Kohlenstoffstahl der Serie SAE 1200 feuerverzinktes, warmgewalztes Blech
Carbon steel SAE 1100 series hot dip galvanized hot rolled sheet	Kohlenstoffstahl der Serie SAE 1100, feuerverzinktes, warmgewalztes Blech
Carbon steel SAE 1000 series hot dip galvanized hot rolled sheet	Kohlenstoffstahl der Serie SAE 1000 feuerverzinktes, warmgewalztes Blech
Carbon steel SAE 1500 series electro galvanized hot rolled sheet	Kohlenstoffstahl SAE 1500 Serie elektrolytisch verzinktes warmgewalztes Blech
Carbon steel SAE 1200 series electro galvanized hot rolled sheet	Kohlenstoffstahl SAE 1200 Serie elektrolytisch verzinktes warmgewalztes Blech
Carbon steel SAE 1100 series electro galvanized hot rolled sheet	Kohlenstoffstahl SAE 1100 Serie elektrolytisch verzinktes warmgewalztes Blech
Carbon steel SAE 1500 series hot rolled sheet	Warmgewalzte Bleche aus Kohlenstoffstahl der Serie SAE 1500
Carbon steel SAE 1200 series hot rolled sheet	Warmgewalzte Bleche aus Kohlenstoffstahl der Serie SAE 1200
Carbon steel SAE 1100 series hot rolled sheet	Warmgewalzte Bleche aus Kohlenstoffstahl der Serie SAE 1100
Carbon steel SAE 1000 series hot rolled sheet	Warmgewalzte Bleche aus Kohlenstoffstahl der Serie SAE 1000
Carbon steel SAE 1000 series cold rolled sheet	Kaltgewalzte Bleche aus Kohlenstoffstahl der Serie SAE 1000
Steel alloy SAE 9000 series cold rolled sheet	Stahllegierung SAE 9000 Serie kaltgewalztes Blech
Steel alloy SAE 8000 series cold rolled sheet	Stahllegierung SAE 8000 Serie kaltgewalztes Blech
Steel alloy SAE 6000 series cold rolled sheet	Stahllegierung SAE 6000 Serie kaltgewalztes Blech
Steel alloy SAE 5000 series cold rolled sheet	Stahllegierung SAE 5000 Serie kaltgewalztes Blech
Steel alloy SAE 4000 series hot rolled sheet	Stahllegierung SAE 4000 Serie warmgewalztes Blech
Steel alloy SAE 9000 series hot rolled sheet	Stahllegierung SAE 9000 Serie warmgewalztes Blech
Steel alloy SAE 8000 series hot rolled sheet	Stahllegierung SAE 8000 Serie warmgewalztes Blech
Steel alloy SAE 6000 series hot rolled sheet	Stahllegierung SAE 6000 Serie warmgewalztes Blech
Steel alloy SAE 5000 series hot rolled sheet	Stahllegierung SAE 5000 Serie warmgewalztes Blech
Steel alloy SAE 4000 series cold rolled sheet	Stahllegierung SAE 4000 Serie kaltgewalztes Blech
Aluminized steel sheet	Aluminisiertes Stahlblech
Corrugated steel sheet	Gewelltes Stahlblech
High strength low alloy HSLA steel hot rolled sheet	Hochfester, niedrig legierter HSLA-Stahl, warmgewalztes Blech
High strength low alloy HSLA cold rolled sheet	Hochfestes, niedrig legiertes, kaltgewalztes HSLA-Blech
Electro galvanized steel coil	Elektrolytisch verzinktes Stahlband
Hot dip galvanized steel coil	Feuerverzinktes Stahlband
Embossed steel coil	Geprägtes Stahlband
Perforated steel coil	Perforiertes Stahlband
Aluminized steel coil	Aluminisierte Stahlspule
Carbon steel cold rolled ingot	Kaltgewalzter Block aus Kohlenstoffstahl
Carbon steel hot rolled ingot	Warmgewalzter Kohlenstoffstahl-Block
Carbon steel cold rolled billet	Knüppel aus kaltgewalztem Kohlenstoffstahl
Carbon steel hot rolled billet	Warmgewalzte Knüppel aus Kohlenstoffstahl
Carbon steel SAE 1500 series hot rolled strip	Kohlenstoffstahl SAE 1500 Serie warmgewalztes Band
Carbon steel SAE 1200 series hot rolled strip	Kohlenstoffstahl SAE 1200 Serie warmgewalztes Band
Carbon steel SAE 1500 series cold rolled strip	Kaltgewalztes Band aus Kohlenstoffstahl der Serie SAE 1500
Carbon steel SAE 1200 series cold rolled strip	Kaltgewalztes Band aus Kohlenstoffstahl der Serie SAE 1200
Carbon steel SAE 1100 series cold rolled strip	Kaltgewalztes Band aus Kohlenstoffstahl der Serie SAE 1100
Carbon steel SAE 1500 series hot rolled coil	Kohlenstoffstahl SAE 1500 Serie warmgewalztes Coil
Carbon steel SAE 1200 series hot rolled coil	Kohlenstoffstahl SAE 1200 Serie warmgewalztes Coil
Carbon steel SAE 1100 series hot rolled coil	Kohlenstoffstahl SAE 1100 Serie warmgewalztes Coil
Carbon steel SAE 1100 series hot rolled strip	Kohlenstoffstahl SAE 1100 Serie warmgewalztes Band
Stainless steel SAE 400 series hot rolled bar	Warmgewalzter Stabstahl aus nichtrostendem Stahl der Serie SAE 400
Stainless steel SAE 300 series hot rolled bar	Warmgewalzter Stabstahl aus nichtrostendem Stahl der Serie SAE 300
Stainless steel SAE 400 series cold drawn bar	Kaltgezogener Stabstahl aus Edelstahl der Serie SAE 400
Stainless steel SAE 300 series cold drawn bar	Kaltgezogener Stabstahl aus Edelstahl der Serie SAE 300
Stainless steel SAE 200 series cold drawn bar	Kaltgezogener Stabstahl aus Edelstahl der Serie SAE 200
Stainless steel SAE 200 series hot rolled bar	Warmgewalzter Stabstahl aus nichtrostendem Stahl der Serie SAE 200
Stainless steel SAE 200 series hot rolled sheet	Warmgewalztes Blech aus Edelstahl der Serie SAE 200
Stainless steel SAE 300 series hot rolled sheet	Warmgewalzte Bleche aus rostfreiem Stahl der Serie SAE 300
Stainless steel SAE 400 series hot rolled sheet	Warmgewalzte Bleche aus Edelstahl der Serie SAE 400
Stainless steel SAE 200 series cold rolled sheet	Kaltgewalzte Bleche aus Edelstahl der Serie SAE 200
Stainless steel SAE 300 series cold rolled sheet	Kaltgewalzte Bleche aus Edelstahl der Serie SAE 300
Stainless steel SAE 400 series cold rolled sheet	Kaltgewalzte Bleche aus Edelstahl der Serie SAE 400
Stainless steel SAE 300 series hot rolled coil	Edelstahl SAE 300 Serie warmgewalztes Coil
Stainless steel SAE 400 series hot rolled coil	Edelstahl SAE 400 Serie warmgewalztes Coil
Stainless steel SAE 200 series cold rolled coil	Kaltgewalztes Band aus Edelstahl der Serie SAE 200
Stainless steel SAE 300 series cold rolled coil	Kaltgewalztes Band aus Edelstahl der Serie SAE 300
Stainless steel SAE 400 series cold rolled coil	Kaltgewalztes Band aus Edelstahl der Serie SAE 400
Stainless steel SAE 400 series cold rolled strip	Kaltgewalztes Band aus Edelstahl der Serie SAE 400
Stainless steel SAE 300 series cold rolled strip	Kaltgewalztes Band aus nichtrostendem Stahl der Serie SAE 300
